iter	Passed	Remaining
0	402	401821
1	411	205297
2	420	139798
3	428	106708
4	438	87227
5	445	73803
6	456	64774
7	466	57866
8	474	52200
9	484	48003
10	501	45126
11	514	42355
12	522	39657
13	530	37390
14	539	35454
15	547	33651
16	555	32111
17	562	30666
18	579	29931
19	592	29031
20	601	28029
21	608	27040
22	615	26154
23	624	25387
24	633	24707
25	641	24042
26	650	23459
27	659	22876
28	667	22356
29	675	21826
30	683	21370
31	690	20899
32	699	20486
33	706	20062
34	715	19714
35	722	19342
36	730	19023
37	737	18681
38	745	18381
39	753	18077
40	761	17818
41	769	17549
42	778	17318
43	785	17068
44	793	16849
45	800	16594
46	806	16346
47	814	16152
48	821	15946
49	830	15774
50	837	15587
51	845	15420
52	853	15242
53	864	15141
54	873	15014
55	881	14853
56	890	14732
57	898	14594
58	907	14472
59	913	14310
60	922	14193
61	929	14059
62	937	13945
63	944	13807
64	950	13672
65	959	13579
66	966	13460
67	975	13369
68	982	13256
69	991	13166
70	998	13063
71	1006	12973
72	1013	12871
73	1022	12794
74	1028	12685
75	1037	12608
76	1044	12520
77	1053	12450
78	1060	12362
79	1068	12293
80	1076	12212
81	1086	12167
82	1094	12093
83	1106	12068
84	1115	12009
85	1123	11940
86	1131	11877
87	1139	11811
88	1147	11747
89	1155	11680
90	1164	11628
91	1171	11562
92	1179	11502
93	1186	11431
94	1192	11362
95	1200	11307
96	1207	11244
97	1216	11197
98	1223	11138
99	1231	11085
100	1238	11026
101	1247	10985
102	1254	10927
103	1263	10882
104	1270	10829
105	1278	10779
106	1284	10723
107	1293	10680
108	1300	10634
109	1310	10603
110	1317	10555
111	1328	10535
112	1337	10496
113	1347	10469
114	1363	10492
115	1378	10508
116	1390	10496
117	1400	10471
118	1411	10449
119	1421	10425
120	1429	10383
121	1437	10344
122	1445	10304
123	1451	10252
124	1459	10216
125	1465	10166
126	1473	10129
127	1479	10080
128	1488	10050
129	1495	10005
130	1502	9966
131	1510	9932
132	1518	9899
133	1526	9862
134	1532	9820
135	1541	9793
136	1548	9751
137	1557	9725
138	1563	9684
139	1572	9658
140	1579	9623
141	1588	9599
142	1595	9564
143	1604	9538
144	1611	9500
145	1619	9473
146	1626	9435
147	1634	9408
148	1641	9376
149	1650	9350
150	1657	9319
151	1665	9294
152	1673	9265
153	1682	9243
154	1689	9209
155	1697	9184
156	1704	9152
157	1712	9128
158	1721	9104
159	1731	9089
160	1738	9060
161	1748	9045
162	1756	9018
163	1768	9014
164	1778	9000
165	1786	8973
166	1796	8961
167	1804	8934
168	1815	8926
169	1834	8956
170	1848	8959
171	1855	8932
172	1867	8926
173	1881	8929
174	1891	8917
175	1901	8900
176	1911	8888
177	1919	8864
178	1930	8852
179	1936	8821
180	1945	8802
181	1951	8770
182	1959	8750
183	1964	8712
184	1972	8690
185	1980	8667
186	1990	8652
187	1997	8628
188	2005	8603
189	2012	8579
190	2022	8564
191	2029	8540
192	2038	8522
193	2045	8496
194	2054	8479
195	2060	8452
196	2067	8427
197	2075	8408
198	2082	8382
199	2090	8361
200	2098	8340
201	2109	8333
202	2122	8331
203	2129	8308
204	2140	8299
205	2150	8287
206	2156	8263
207	2167	8252
208	2176	8237
209	2186	8225
210	2193	8200
211	2203	8189
212	2209	8164
213	2219	8150
214	2225	8124
215	2235	8114
216	2241	8088
217	2249	8068
218	2256	8046
219	2264	8029
220	2271	8006
221	2279	7988
222	2285	7965
223	2294	7948
224	2300	7922
225	2306	7898
226	2314	7881
227	2320	7858
228	2330	7845
229	2336	7821
230	2343	7802
231	2348	7775
232	2355	7753
233	2363	7736
234	2369	7714
235	2378	7698
236	2384	7677
237	2391	7656
238	2397	7634
239	2402	7609
240	2409	7589
241	2415	7567
242	2423	7549
243	2429	7528
244	2435	7506
245	2443	7490
246	2448	7464
247	2456	7448
248	2463	7429
249	2470	7410
250	2476	7391
251	2483	7371
252	2492	7357
253	2497	7334
254	2509	7332
255	2516	7314
256	2527	7306
257	2530	7278
258	2540	7267
259	2547	7249
260	2558	7244
261	2564	7223
262	2576	7220
263	2592	7227
264	2603	7221
265	2612	7209
266	2625	7207
267	2636	7199
268	2644	7186
269	2655	7178
270	2661	7160
271	2671	7150
272	2680	7138
273	2690	7129
274	2700	7119
275	2706	7098
276	2710	7075
277	2720	7066
278	2726	7046
279	2736	7036
280	2747	7030
281	2755	7014
282	2763	7000
283	2769	6981
284	2775	6962
285	2784	6950
286	2790	6933
287	2799	6921
288	2804	6899
289	2811	6884
290	2816	6862
291	2821	6840
292	2828	6824
293	2834	6807
294	2841	6790
295	2849	6777
296	2855	6759
297	2861	6741
298	2866	6721
299	2871	6701
300	2879	6687
301	2885	6668
302	2891	6651
303	2897	6634
304	2902	6613
305	2911	6602
306	2916	6583
307	2923	6569
308	2930	6552
309	2934	6531
310	2941	6516
311	2946	6497
312	2950	6476
313	2958	6463
314	2963	6443
315	2968	6424
316	2975	6411
317	2981	6394
318	2989	6381
319	2994	6364
320	2999	6345
321	3006	6330
322	3011	6311
323	3015	6292
324	3024	6280
325	3028	6261
326	3034	6245
327	3041	6231
328	3046	6212
329	3052	6198
330	3059	6183
331	3064	6165
332	3070	6150
333	3076	6135
334	3081	6116
335	3089	6105
336	3095	6089
337	3102	6077
338	3112	6068
339	3121	6058
340	3129	6047
341	3141	6043
342	3150	6035
343	3158	6022
344	3166	6012
345	3174	6000
346	3183	5990
347	3191	5979
348	3199	5968
349	3205	5953
350	3212	5940
351	3219	5927
352	3227	5914
353	3235	5903
354	3241	5889
355	3250	5880
356	3256	5864
357	3264	5854
358	3269	5838
359	3276	5825
360	3283	5811
361	3289	5798
362	3297	5787
363	3302	5770
364	3308	5755
365	3313	5739
366	3319	5725
367	3327	5715
368	3332	5699
369	3337	5682
370	3344	5670
371	3349	5653
372	3353	5637
373	3362	5627
374	3366	5610
375	3372	5596
376	3379	5584
377	3383	5568
378	3390	5555
379	3395	5540
380	3400	5524
381	3407	5512
382	3412	5496
383	3417	5481
384	3423	5469
385	3429	5454
386	3433	5439
387	3440	5427
388	3446	5412
389	3450	5397
390	3458	5387
391	3464	5374
392	3474	5366
393	3481	5354
394	3492	5349
395	3505	5346
396	3512	5335
397	3525	5332
398	3531	5318
399	3540	5311
400	3546	5297
401	3556	5290
402	3562	5277
403	3575	5274
404	3581	5262
405	3589	5250
406	3593	5235
407	3600	5224
408	3605	5209
409	3610	5194
410	3620	5188
411	3626	5176
412	3634	5165
413	3640	5153
414	3648	5143
415	3654	5130
416	3664	5122
417	3669	5108
418	3676	5097
419	3682	5085
420	3687	5071
421	3693	5058
422	3699	5046
423	3704	5032
424	3710	5020
425	3716	5007
426	3721	4994
427	3728	4983
428	3733	4969
429	3738	4955
430	3744	4943
431	3749	4929
432	3754	4915
433	3760	4903
434	3765	4890
435	3770	4877
436	3780	4870
437	3785	4857
438	3792	4846
439	3797	4832
440	3802	4819
441	3809	4809
442	3813	4795
443	3819	4782
444	3826	4772
445	3832	4760
446	3836	4746
447	3843	4735
448	3848	4722
449	3853	4709
450	3859	4697
451	3863	4684
452	3868	4671
453	3875	4661
454	3880	4648
455	3887	4637
456	3891	4624
457	3896	4611
458	3903	4600
459	3908	4588
460	3913	4575
461	3920	4565
462	3925	4553
463	3931	4541
464	3938	4530
